tokenname;genger;origin;
ZENAJDA;F;bielsko;
ZENOBIA;F;bielsko;
ZENONA;F;bielsko;
ZIGLINDA;F;bielsko;
ZOFIA;F;bielsko;
ZOFIA I JANUSZ;F;bielsko;
ZUZANNA;F;bielsko;
ZYGFRYD;F;bielsko;
ZYGMUNT;F;bielsko;
ZYTA;F;bielsko;
ŻAKLINA;F;bielsko;
ŻANET;F;bielsko;
ŻANETA
